法人・施設名,住所,アクセス,仕事内容,サービス形態,給与,給与の備考,待遇,勤務時間,休日,長期休暇/特別休暇,url
特定非営利活動法人国際交流学級（品川インターナショナルスクール）,東京都品川区東品川４－８－８新幹ビル３Ｆ,"東京都品川区東品川４－８－８新幹ビル３Ｆ
京急本線 青物横丁駅から徒歩で6分
りんかい線 品川シーサイド駅から徒歩で5分
京急本線 鮫洲駅から徒歩で9分",・子どもに食べる、眠る、着替えるなど基本的生活を身につけさせる・子どもの身の回りの世話をする・子どもに集団生活を通して社会性を身につけさせる・子どもと遊ぶことで心身の健やかな成長を手助けする,,"月給 270,000円 〜 330,000円",,"通勤手当： 毎月 20,000円まで マイカー通勤可否：不可 昇給： 賞与：なし ",(1)8時00分〜17時00分 休憩60分 時間外勤務：あり ,年間休日数 130日,,"
https://job-medley.com/cw/hw/5735421/"
社会福祉法人なぜの木会大森西第二保育園,東京都大田区大森西４丁目１３番１１号の１０１,"東京都大田区大森西４丁目１３番１１号の１０１
京急本線 梅屋敷駅から徒歩で14分
京急本線 大森町駅から徒歩で12分
JR京浜東北線 蒲田駅から徒歩で19分","◆運営している認可保育園での保育業務全般
＊園児の保育
＊クリスマス・運動会・発表会等の行事あり
＊園庭があり、近隣に多くの公園もあるため、戸外遊びが充実
＊教材準備・保育室清掃・連絡帳などの事務作業あり
☆保育業務経験者歓迎",,"月給 266,000円 〜 266,500円",,通勤手当： マイカー通勤可否：不可 昇給：あり 賞与：あり ,(1)7時10分〜15時10分 (2)8時00分〜16時00分 (3)9時30分〜17時30分 早々７：１０〜１５：１０／早番８：００〜１６：００　普通８：３０〜１６：３０／普通９：００〜１７：００　遅番９：３０〜１７：３０／延長１３：３０〜２０：３０　などのシフト勤務　＊（１）（２）（３）は就業時間の一例 休憩45分 時間外勤務：あり ,年間休日数 108日,,"
https://job-medley.com/cw/hw/5841206/"
社会福祉法人森友会,東京都国分寺市本町１−５−１７,"東京都国分寺市本町１−５−１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分","保育園業務
０歳児〜５歳児（定員６１名）の保育業務全般となります。
・児童の保育、保護者に対するアドバイス、サポート
・教材の検討、行事の計画、園だよりの作成
・施設の安全点検
・その他業務",,"月給 264,600円 〜 270,600円",,通勤手当： マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：あり ,(1)6時30分〜15時30分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5729464/"
社会福祉法人森友会,東京都国分寺市本町１−５−１７,"東京都国分寺市本町１−５−１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分","保育園業務
１歳児〜５歳児（定員６５名）の保育業務全般となります。
・児童の保育、保護者に対するアドバイス、サポート
・教材の検討、行事の計画、園だよりの作成
・施設の安全点検
・その他業務",,"月給 264,600円 〜 270,600円",,通勤手当： マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：あり ,(1)6時45分〜15時45分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5729463/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","スクルドエンジェル北砂園は、０歳～５歳児対象の認可保育園です。子どもたち一人ひとりの個性を大切に、一人ひとりに寄り添った保育を行っています。＜仕事内容＞開園準備、部屋の清掃・換気子どもたちの迎え入れ自由遊び・散歩、専門プログラム昼食、お昼寝準備、ブレスチェック、連絡帳記入お見送り対応（園での様子や連絡事項をお伝え）園内の掃除・片付け、戸締まり
など",,"月給 264,000円 〜 309,000円",,"通勤手当： 毎月 30,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)11時30分〜20時30分 （１）～（３）シフト例※土曜勤務は月１～２回程度。平日に代休取得しています。 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5797075/"
株式会社スクルドアンドカンパニー,東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階,"東京都中央区日本橋３丁目１２番２号朝日ビルヂング４階
都営浅草線 日本橋駅から徒歩で4分
東京メトロ銀座線 日本橋駅から徒歩で7分
東京メトロ東西線 日本橋駅から徒歩で7分","【保育士正社員のお仕事です】定員７３名・０歳〜５歳の保育業務全般
・研修やキャリアアップ制度充実。まずは先輩たちがしっかりサポートします
・クラス定員が少なめなので一人ひとりと向き合った保育が可能。
・リトミック・英語・体操・モンテッソーリなどは専門講師が担当。
保育士さんも学べる環境です。
・大きな行事は少なく、持ち帰り仕事やサービス残業はございません。
・各園に担当のスーパーバイザーがおり、人間関係や
仕事の悩み事などもお気軽に相談できます。
・保育・調理職員と協力しより良い保育園をつくって行きましょう。",,"月給 264,000円",,"通勤手当：月額 30,000円 毎月 月額まで マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)7時30分〜16時30分 (2)8時00分〜17時00分 (3)11時30分〜20時30分 休憩60分 時間外勤務：あり ,年間休日数 126日,,"
https://job-medley.com/cw/hw/5488754/"
株式会社ニチイ学館管理部,東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ,"東京都千代田区神田駿河台４ー６御茶ノ水ソラシティ
東京メトロ千代田線 新御茶ノ水駅から徒歩で1分
JR中央線(快速) 御茶ノ水駅から徒歩で3分
JR中央・総武線 御茶ノ水駅から徒歩で3分",子どもたちの年齢や成長に応じた保育業務全般・着替え、食事補助・保育環境の整備（主活動の準備、清掃など）・保護者対応（連絡帳の作成など）・帳票作成（日誌、行事計画など）,,"月給 263,910円",,"通勤手当： 毎月 50,000円まで マイカー通勤可否：不可 昇給： 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5713781/"
社会福祉法人信愛会若草幼稚舎,兵庫県三田市けやき台５−２４,"兵庫県三田市けやき台５−２４
公園都市線 ウッディタウン中央駅から徒歩で14分
公園都市線 南ウッディタウン駅から徒歩で23分
JR宝塚線 広野駅から徒歩で25分","＊０〜５歳児クラスの担任
＊休み希望や出勤時間の希望を毎月、３日間以上は可能。
＊やりたいこと、やってみたいこと！を応援します。
＊保育園から認定こども園に移行した園です。
＊プライベートを大切に保育を楽しみましょう。
新卒職員の令和５年４月の平均手取り額
２５１，２９７円",,"月給 263,640円",,"通勤手当：月額 20,000円 毎月 月額まで マイカー通勤可否：可 無料駐車場あり 昇給：あり 賞与：あり ",(1)6時45分〜15時15分 (2)8時00分〜16時30分 (3)9時00分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 119日,,"
https://job-medley.com/cw/hw/5600533/"
株式会社パソナ,東京都港区南青山３−１−３０,"東京都港区南青山３−１−３０
東京メトロ銀座線 外苑前駅から徒歩で6分
東京メトロ銀座線 表参道駅から徒歩で6分
東京メトロ千代田線 表参道駅から徒歩で6分","□保育業務
クラス担任として保育業務全般、保護者へのお便り作成、
連絡帳、日案・週案・月案、年間カリキュラム等の各種書類作成
□保育補助業務
保育補助業務全般、散歩の同行、子供たちとの遊び、午睡対応、",,"月給 263,500円 〜 286,750円",,"通勤手当：月額 30,000円 30000 マイカー通勤可否：不可 昇給：なし 賞与：なし ",(1)8時30分〜17時15分 休憩60分 時間外勤務：なし ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5876402/"
株式会社パソナ,東京都港区南青山３−１−３０,"東京都港区南青山３−１−３０
東京メトロ銀座線 外苑前駅から徒歩で6分
東京メトロ銀座線 表参道駅から徒歩で6分
東京メトロ千代田線 表参道駅から徒歩で6分","□保育業務
クラス担任として保育業務全般、保護者へのお便り作成、
連絡帳、日案・週案・月案、年間カリキュラム等の各種書類作成
□保育補助業務
保育補助業務全般、散歩の同行、子供たちとの遊び、午睡対応、",,"月給 263,500円 〜 286,750円",,"通勤手当：月額 30,000円 30000 マイカー通勤可否：不可 昇給：なし 賞与：なし ",(1)8時30分〜17時15分 休憩60分 時間外勤務：なし ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5867745/"
株式会社パソナ,東京都港区南青山３−１−３０,"東京都港区南青山３−１−３０
東京メトロ銀座線 外苑前駅から徒歩で6分
東京メトロ銀座線 表参道駅から徒歩で6分
東京メトロ千代田線 表参道駅から徒歩で6分","□保育業務
クラス担任として保育業務全般、保護者へのお便り作成、
連絡帳、日案・週案・月案、年間カリキュラム等の各種書類作成
□保育補助業務
保育補助業務全般、散歩の同行、子供たちとの遊び、午睡対応、",,"月給 263,500円 〜 286,750円",,"通勤手当：月額 30,000円 30000 マイカー通勤可否：不可 昇給：なし 賞与：なし ",(1)8時30分〜17時15分 休憩60分 時間外勤務：なし ,年間休日数 122日,,"
https://job-medley.com/cw/hw/5775106/"
社会福祉法人大和会,東京都多摩市和田１５４７番地,"東京都多摩市和田１５４７番地
京王線 百草園駅から徒歩で23分
京王線 聖蹟桜ヶ丘駅から徒歩で21分",【仮称：北方保育園（千葉県市川市）】２０２４年４月公私連携型保育園として開園致します。・子どもの健康管理（医療的ケア児も受け入れ予定）・残業はほとんどありません。・姉妹園での有休消化率９５％・子どもたちの主体性を重視し、子どもたちと共に様々な経験をしながら成長していく保育園です。,,"月給 262,861円 〜 276,861円",,"通勤手当：月額 24,000円 毎月 月額まで マイカー通勤可否：不可 昇給：あり 賞与：あり ",(1)8時30分〜17時30分 休憩60分 時間外勤務：あり ,年間休日数 115日,,"
https://job-medley.com/cw/hw/5768182/"
株式会社アイグラン,広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階,"広島県広島市西区庚午中１−７−２４ＮＴＴ庚午ビル１階２階
広電２号線(宮島線) 古江駅から徒歩で8分
広電２号線(宮島線) 高須駅から徒歩で8分
広電２号線(宮島線) 東高須駅から徒歩で12分","●企業内保育園
●一人ひとりとしっかり関われる小規模保育園
●定員１２名
●保育業務全般
（主活動、オムツ交換、食事介助、清掃など）
●専門講師が週１回リトミック実施
●社員用託児所完備（保育料や給食も無料）
アイグランでは子どもたちだけなく職員にとっての「心の基地」を
目指しています。私たちといっしょに子どもたちの想いを形にする
保育園をつくりませんか？
※定年年齢以上の方の応募も可能です。ただし、労働条件について
は、別途ご説明いたします。",,"月給 262,000円",,"通勤手当：月額 20,000円 20000 マイカー通勤可否：不可 昇給：あり 賞与：あり ",休憩60分 時間外勤務：あり ,年間休日数 107日,,"
https://job-medley.com/cw/hw/5844443/"
社会福祉法人森友会,東京都国分寺市本町１－５－１７,"東京都国分寺市本町１－５－１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分",保育園業務０歳児～５歳児（定員７０名）の保育業務全般となります。・児童の保育、保護者に対するアドバイス、サポート・教材の検討、行事の計画、園だよりの作成・施設の安全点検・その他業務,,"月給 261,600円 〜 267,600円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時30分〜15時30分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5838773/"
社会福祉法人森友会,東京都国分寺市本町１－５－１７,"東京都国分寺市本町１－５－１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分",保育園業務０歳児～５歳児（定員１００名）の保育業務全般となります。・児童の保育、保護者に対するアドバイス、サポート・教材の検討、行事の計画、園だよりの作成・施設の安全点検・その他業務,,"月給 261,600円 〜 267,600円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時30分〜15時30分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5838770/"
社会福祉法人森友会,東京都国分寺市本町１－５－１７,"東京都国分寺市本町１－５－１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分",保育園業務０歳児～５歳児（定員８０名）の保育業務全般となります。・児童の保育、保護者に対するアドバイス、サポート・教材の検討、行事の計画、園だよりの作成・施設の安全点検・その他業務,,"月給 261,600円 〜 267,600円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時30分〜15時30分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5838775/"
社会福祉法人森友会,東京都国分寺市本町１－５－１７,"東京都国分寺市本町１－５－１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分",保育園業務０歳児～５歳児（定員７０名）の保育業務全般となります。・児童の保育、保護者に対するアドバイス、サポート・教材の検討、行事の計画、園だよりの作成・施設の安全点検・その他業務,,"月給 261,600円 〜 267,600円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時45分〜15時45分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5838768/"
社会福祉法人森友会,東京都国分寺市本町１－５－１７,"東京都国分寺市本町１－５－１７
JR中央本線(東京～塩尻) 国分寺駅から徒歩で5分
JR中央線(快速) 国分寺駅から徒歩で5分
JR成田エクスプレス 国分寺駅から徒歩で5分",保育園業務０歳児～５歳児（定員８０名）の保育業務全般となります。・児童の保育、保護者に対するアドバイス、サポート・教材の検討、行事の計画、園だよりの作成・施設の安全点検・その他業務,,"月給 261,600円 〜 267,600円",,通勤手当： マイカー通勤可否：可 昇給： 賞与：あり ,(1)6時30分〜15時30分 (2)9時00分〜18時00分 (3)11時00分〜20時00分 ローテーションによる 休憩60分 時間外勤務：あり ,年間休日数 109日,,"
https://job-medley.com/cw/hw/5838771/"
社会福祉法人新柏会ヴィヴァン亀甲台保育園,千葉県柏市亀甲台町２−１３−１２,"千葉県柏市亀甲台町２−１３−１２
東武野田線 新柏駅から徒歩で21分","□０歳〜５歳までのお子様なの成長を支えます。
健康でたくましい子
ひとを思いやることのできる子
自分で考
えて行動できる子を育みます。
□保護者の方の子育てを応援します。
保護者の方が抱える問題を傾聴し自ら前に進めるようお話を聞き
ます。
□地域の中の子育て親子を気にかけ、孤立しないよう居場所つくり
の提供を行います。",,"月給 261,500円 〜 276,600円",,"通勤手当：月額 24,000円 24000 マイカー通勤可否：可 駐車場 あり 昇給：あり 賞与：あり ",(1)7時00分〜16時00分 希望労働時間をうかがわせてください。　調整いたします。 休憩60分 時間外勤務：あり ,年間休日数 110日,,"
https://job-medley.com/cw/hw/5787492/"
株式会社アスカ八王子支店,東京都八王子市明神町３−２０−６八王子ファーストスクエアビル９Ｆ,"東京都八王子市明神町３−２０−６八王子ファーストスクエアビル９Ｆ
京王線 京王八王子駅から徒歩で1分
JR横浜線 八王子駅から徒歩で6分
JR中央本線(東京～塩尻) 八王子駅から徒歩で6分","・定員６０名の保育園でフリー保育士
のお仕事をお願いします。
・遊びの見守りや身の回りのサポート、
掃除や消毒など。",,"月給 261,120円",,通勤手当： マイカー通勤可否：可 駐車場 なし 昇給：あり 賞与：なし ,(1)8時30分〜17時30分 (2)9時00分〜18時00分 休憩60分 時間外勤務：なし ,年間休日数 120日,,"
https://job-medley.com/cw/hw/5739779/"
